epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.269,1.11539,2.15438,1.21785,0.84597,0.73889,0.82791,0.57154,0.98249,1.65941,1.09415,0.00329825,0.00329825,0.0703158
2,20.8175,1.09424,1.2797,1.13588,0.68499,0.74094,0.65327,0.38633,1.19455,1.49392,1.25944,0.00656593,0.00656593,0.0402501
3,28.057,1.15841,1.26724,1.17727,0.63607,0.59553,0.5967,0.33715,1.34612,1.50911,1.40351,0.00976761,0.00976761,0.0101185
4,35.2917,1.20691,1.26461,1.22705,0.81887,0.69489,0.7811,0.45159,1.36797,1.41483,1.32469,0.009703,0.009703,0.009703
5,42.4554,1.19986,1.20469,1.22217,0.71927,0.66111,0.69533,0.42219,1.24966,1.69711,1.29968,0.009604,0.009604,0.009604
6,49.5777,1.16927,1.14725,1.22322,0.88799,0.73404,0.84279,0.55063,1.15803,1.01864,1.23717,0.009505,0.009505,0.009505
7,56.7148,1.13693,1.07257,1.21252,0.7903,0.72581,0.80754,0.50354,1.23218,1.12555,1.2528,0.009406,0.009406,0.009406
8,63.8213,1.12383,1.03893,1.19651,0.78537,0.75926,0.79632,0.53121,1.09014,1.10739,1.21364,0.009307,0.009307,0.009307
9,71.0779,1.12159,1.01867,1.20307,0.83835,0.78753,0.85238,0.57916,1.11053,1.01927,1.19406,0.009208,0.009208,0.009208
10,78.379,1.09134,0.99987,1.17831,0.83017,0.80185,0.84006,0.57561,1.06279,0.99504,1.18614,0.009109,0.009109,0.009109
11,85.5492,1.09073,0.97223,1.18168,0.81676,0.72963,0.80149,0.53861,1.12726,1.04243,1.20683,0.00901,0.00901,0.00901
12,92.6232,1.06627,0.9377,1.16636,0.82382,0.79667,0.86254,0.58633,1.08931,0.97992,1.17441,0.008911,0.008911,0.008911
13,100.029,1.04775,0.88708,1.16201,0.80425,0.80185,0.82007,0.57439,1.04137,0.9053,1.14753,0.008812,0.008812,0.008812
14,107.388,1.05647,0.90782,1.16916,0.8063,0.81111,0.82998,0.5606,1.05282,0.98258,1.16254,0.008713,0.008713,0.008713
15,114.357,1.0418,0.88819,1.14832,0.86858,0.79074,0.8818,0.6043,1.04083,0.86865,1.13738,0.008614,0.008614,0.008614
16,121.377,1.0271,0.8617,1.15344,0.88064,0.82407,0.88416,0.62545,1.00668,0.87522,1.12662,0.008515,0.008515,0.008515
17,128.655,1.01357,0.83897,1.13248,0.81429,0.80185,0.85764,0.61496,1.02134,0.92725,1.12452,0.008416,0.008416,0.008416
18,135.645,1.01907,0.83684,1.13744,0.83717,0.81296,0.85038,0.58847,1.00928,0.87279,1.13515,0.008317,0.008317,0.008317
19,142.731,1.01622,0.82974,1.13176,0.88041,0.83165,0.88831,0.64764,0.97262,0.77861,1.10243,0.008218,0.008218,0.008218
20,150.04,1.01858,0.82022,1.13664,0.85832,0.85264,0.89975,0.66195,0.97016,0.77801,1.09744,0.008119,0.008119,0.008119
21,157.213,0.98589,0.79913,1.12072,0.86374,0.81852,0.87423,0.6198,1.0001,0.8595,1.11297,0.00802,0.00802,0.00802
22,164.413,0.99977,0.79589,1.12434,0.85152,0.82407,0.87795,0.62671,1.00599,0.82134,1.11707,0.007921,0.007921,0.007921
23,171.618,0.9721,0.78924,1.12602,0.87074,0.83519,0.89211,0.66256,0.95053,0.78002,1.09096,0.007822,0.007822,0.007822
24,178.869,0.96585,0.76606,1.11301,0.84538,0.84074,0.8825,0.64713,0.96521,0.78571,1.08494,0.007723,0.007723,0.007723
25,185.946,0.97061,0.75548,1.10933,0.91593,0.78683,0.87956,0.63785,0.97533,0.80771,1.12062,0.007624,0.007624,0.007624
26,193.041,0.95779,0.75911,1.11232,0.84977,0.85,0.87745,0.63915,0.9631,0.78831,1.09431,0.007525,0.007525,0.007525
27,200.056,0.96752,0.76776,1.1141,0.86754,0.8537,0.90116,0.65565,0.93306,0.7526,1.07524,0.007426,0.007426,0.007426
28,207.31,0.93514,0.72086,1.09743,0.89144,0.85741,0.89839,0.66524,0.90516,0.73551,1.0801,0.007327,0.007327,0.007327
29,214.482,0.95334,0.73969,1.10293,0.85232,0.88709,0.88181,0.64797,0.90814,0.73631,1.06277,0.007228,0.007228,0.007228
30,221.632,0.92373,0.71314,1.0936,0.85744,0.85762,0.89388,0.65705,0.91806,0.7357,1.0685,0.007129,0.007129,0.007129
31,228.927,0.9258,0.71364,1.08206,0.88005,0.82593,0.90014,0.65473,0.92968,0.75067,1.07267,0.00703,0.00703,0.00703
32,236.265,0.92983,0.70049,1.07495,0.88571,0.87593,0.90997,0.65801,0.9356,0.70298,1.0617,0.006931,0.006931,0.006931
33,243.575,0.9228,0.7108,1.08001,0.87752,0.86241,0.89852,0.66682,0.93467,0.74088,1.06547,0.006832,0.006832,0.006832
34,250.833,0.90236,0.69784,1.08588,0.87163,0.84248,0.90694,0.66344,0.90054,0.73707,1.05381,0.006733,0.006733,0.006733
35,257.962,0.89956,0.67584,1.07417,0.88982,0.82253,0.88738,0.65718,0.89972,0.73456,1.0668,0.006634,0.006634,0.006634
36,264.994,0.90644,0.68488,1.08809,0.87619,0.87778,0.9075,0.68248,0.89467,0.69653,1.04542,0.006535,0.006535,0.006535
37,272.05,0.90379,0.68163,1.07842,0.86981,0.84135,0.89186,0.67753,0.88454,0.74847,1.06313,0.006436,0.006436,0.006436
38,279.243,0.89389,0.67568,1.0805,0.84543,0.87593,0.90124,0.6755,0.87061,0.68598,1.0406,0.006337,0.006337,0.006337
39,286.316,0.8832,0.66029,1.07987,0.9,0.88332,0.92276,0.69731,0.85178,0.66907,1.01883,0.006238,0.006238,0.006238
40,293.31,0.88577,0.66464,1.06971,0.90542,0.8332,0.90096,0.67022,0.87639,0.69292,1.04462,0.006139,0.006139,0.006139
41,300.529,0.86986,0.63104,1.06437,0.90772,0.86667,0.91038,0.68838,0.8876,0.70695,1.04277,0.00604,0.00604,0.00604
42,307.866,0.88578,0.64348,1.06298,0.87999,0.85741,0.91039,0.69132,0.85964,0.69158,1.03139,0.005941,0.005941,0.005941
43,315.165,0.86601,0.64483,1.06504,0.89159,0.8986,0.9283,0.70264,0.8781,0.64446,1.04108,0.005842,0.005842,0.005842
44,322.526,0.8667,0.62306,1.05548,0.89376,0.88333,0.92416,0.70475,0.85971,0.68192,1.01785,0.005743,0.005743,0.005743
