epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6869,1.40543,3.14452,1.68976,0.83978,0.08063,0.28517,0.15327,1.28958,2.98768,1.78739,0.00328767,0.00328767,0.070411
2,16.3633,1.38081,2.36995,1.60395,0.47722,0.44663,0.53867,0.28612,1.55342,2.44564,2.06502,0.00655546,0.00655546,0.0403454
3,22.0285,1.41743,2.12245,1.63381,0.55183,0.51382,0.48841,0.18375,1.84902,2.50773,2.45773,0.00975724,0.00975724,0.0102139
4,27.5257,1.46174,2.06409,1.68137,0.60965,0.39517,0.44817,0.18245,1.87326,2.47579,2.54715,0.009703,0.009703,0.009703
5,33.125,1.50429,1.99261,1.70381,0.56922,0.52415,0.51793,0.25009,1.68944,2.42669,2.26697,0.009604,0.009604,0.009604
6,38.4688,1.49584,1.87618,1.6762,0.53086,0.50752,0.49799,0.2525,1.84532,2.22527,2.49999,0.009505,0.009505,0.009505
7,43.8451,1.48293,1.83502,1.68495,0.60836,0.49272,0.53963,0.28936,1.6305,1.87351,2.05056,0.009406,0.009406,0.009406
8,49.2075,1.44354,1.72989,1.63989,0.56755,0.49451,0.5022,0.21068,1.7921,2.08899,2.2292,0.009307,0.009307,0.009307
9,54.5702,1.42699,1.64914,1.63048,0.70469,0.58985,0.69739,0.35705,1.63248,1.71978,2.08231,0.009208,0.009208,0.009208
10,59.8896,1.42238,1.56205,1.62454,0.76819,0.57159,0.73575,0.41413,1.4931,1.69639,1.96165,0.009109,0.009109,0.009109
11,65.3444,1.38931,1.48162,1.59881,0.79577,0.5757,0.69516,0.40526,1.5194,1.60603,1.9844,0.00901,0.00901,0.00901
12,70.7926,1.3844,1.49167,1.58479,0.71865,0.63923,0.66661,0.37386,1.62224,1.69068,2.04447,0.008911,0.008911,0.008911
13,76.0977,1.40306,1.4559,1.60345,0.68264,0.72518,0.76888,0.44008,1.46784,1.42814,1.90698,0.008812,0.008812,0.008812
14,81.4416,1.37703,1.38333,1.57181,0.76627,0.76698,0.83194,0.46368,1.45779,1.2746,1.9041,0.008713,0.008713,0.008713
15,86.768,1.35293,1.38224,1.56198,0.81665,0.65967,0.76647,0.39716,1.68397,1.4267,2.14203,0.008614,0.008614,0.008614
16,92.0815,1.33708,1.34132,1.54733,0.71997,0.69306,0.77503,0.44336,1.49383,1.3099,1.93247,0.008515,0.008515,0.008515
17,97.4146,1.32496,1.29972,1.54946,0.75009,0.73124,0.81723,0.44988,1.49075,1.27776,1.93238,0.008416,0.008416,0.008416
18,102.864,1.35089,1.33173,1.56713,0.8414,0.74967,0.86247,0.5008,1.44535,1.16634,1.88781,0.008317,0.008317,0.008317
19,108.231,1.33263,1.31151,1.54953,0.7997,0.68654,0.80407,0.47561,1.40674,1.30637,1.85413,0.008218,0.008218,0.008218
20,113.708,1.28202,1.25949,1.52747,0.81937,0.78919,0.86554,0.5264,1.38218,1.08053,1.85124,0.008119,0.008119,0.008119
21,119.06,1.27598,1.18315,1.49753,0.80685,0.75517,0.85582,0.50778,1.48506,1.17445,1.90665,0.00802,0.00802,0.00802
22,124.469,1.28264,1.17807,1.51527,0.81145,0.84237,0.88872,0.53503,1.41238,1.05007,1.85601,0.007921,0.007921,0.007921
23,129.887,1.27761,1.1962,1.5077,0.83359,0.79874,0.87046,0.52548,1.35948,1.09506,1.81758,0.007822,0.007822,0.007822
24,135.23,1.27701,1.17886,1.49209,0.85851,0.72236,0.86369,0.52624,1.40165,1.10115,1.8509,0.007723,0.007723,0.007723
