epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0851,1.87743,2.95287,1.83919,0.41176,0.43125,0.36055,0.14296,1.94476,2.29549,1.99223,0.00332215,0.00332215,0.0701007
2,51.8272,1.77221,2.081,1.72467,0.59278,0.52239,0.54457,0.23617,1.92939,1.80537,1.9234,0.00658959,0.00658959,0.0400348
3,74.5994,1.82212,2.03241,1.75637,0.45427,0.37728,0.37687,0.15203,2.06992,2.10883,2.04655,0.00979104,0.00979104,0.00990289
4,97.3993,1.88832,2.09801,1.81988,0.48259,0.37728,0.4065,0.19138,2.00684,2.0553,2.04456,0.009703,0.009703,0.009703
5,120.282,1.85676,2.01164,1.81154,0.64513,0.51704,0.56996,0.26434,1.87708,2.06995,1.94928,0.009604,0.009604,0.009604
6,142.978,1.7887,1.89141,1.77106,0.67009,0.54062,0.61584,0.29796,1.82539,1.62162,1.84326,0.009505,0.009505,0.009505
7,165.302,1.7279,1.74937,1.70693,0.65111,0.44942,0.51864,0.23698,2.01311,1.85831,2.01871,0.009406,0.009406,0.009406
8,188.82,1.68485,1.66324,1.67542,0.72836,0.63142,0.69798,0.34286,1.77577,1.48082,1.83822,0.009307,0.009307,0.009307
9,211.337,1.65645,1.60953,1.64999,0.74776,0.66998,0.7536,0.38477,1.689,1.38175,1.75492,0.009208,0.009208,0.009208
10,233.683,1.60267,1.5205,1.61249,0.75494,0.69237,0.7667,0.40271,1.64854,1.22703,1.72524,0.009109,0.009109,0.009109
11,255.743,1.58026,1.44988,1.58879,0.82253,0.69943,0.80848,0.46138,1.53644,1.1435,1.60873,0.00901,0.00901,0.00901
12,278.801,1.56439,1.40839,1.57086,0.86595,0.71559,0.83068,0.46757,1.56112,1.12413,1.64217,0.008911,0.008911,0.008911
13,302.159,1.53748,1.39347,1.55178,0.83089,0.72926,0.833,0.47317,1.53288,1.09573,1.59394,0.008812,0.008812,0.008812
14,324.695,1.50357,1.32909,1.52136,0.88034,0.76617,0.8775,0.51942,1.4586,0.97935,1.53631,0.008713,0.008713,0.008713
15,347.203,1.4763,1.29944,1.50069,0.85715,0.7728,0.86788,0.49895,1.4721,1.00968,1.55589,0.008614,0.008614,0.008614
16,369.888,1.46422,1.26632,1.49269,0.86897,0.78027,0.8666,0.50216,1.47325,1.02791,1.55923,0.008515,0.008515,0.008515
17,392.956,1.45168,1.2464,1.48143,0.85619,0.80265,0.89011,0.53147,1.41296,0.97547,1.50619,0.008416,0.008416,0.008416
18,415.802,1.43322,1.20914,1.46799,0.91563,0.82919,0.91877,0.55091,1.39954,0.87211,1.48266,0.008317,0.008317,0.008317
19,438.34,1.41013,1.16392,1.44615,0.88206,0.80929,0.88689,0.5375,1.42061,0.9026,1.52539,0.008218,0.008218,0.008218
20,460.686,1.40713,1.17242,1.4405,0.89892,0.79187,0.89434,0.54991,1.37744,0.89806,1.45601,0.008119,0.008119,0.008119
21,483.123,1.40531,1.16989,1.45162,0.88868,0.81592,0.90902,0.56573,1.33414,0.8577,1.43894,0.00802,0.00802,0.00802
22,505.426,1.37479,1.13248,1.42818,0.90344,0.84826,0.92679,0.57259,1.33981,0.81745,1.4412,0.007921,0.007921,0.007921
23,527.931,1.36762,1.1211,1.41974,0.90552,0.81852,0.91498,0.56743,1.32755,0.86037,1.43544,0.007822,0.007822,0.007822
24,550.999,1.35797,1.09721,1.4166,0.88446,0.82007,0.90021,0.56291,1.34342,0.84714,1.45736,0.007723,0.007723,0.007723
25,573.486,1.34231,1.09166,1.40086,0.90489,0.85198,0.92549,0.58518,1.31116,0.80871,1.40887,0.007624,0.007624,0.007624
26,596.149,1.338,1.05888,1.40071,0.90432,0.85904,0.92608,0.59909,1.27008,0.7756,1.38463,0.007525,0.007525,0.007525
27,618.71,1.33057,1.04906,1.39498,0.92963,0.85444,0.93223,0.59886,1.27212,0.76535,1.38816,0.007426,0.007426,0.007426
28,641.076,1.29773,1.02586,1.37243,0.92376,0.83394,0.92707,0.59484,1.26294,0.79017,1.39307,0.007327,0.007327,0.007327
29,664.099,1.30548,1.01881,1.37034,0.91605,0.88674,0.94653,0.60891,1.26549,0.73253,1.36896,0.007228,0.007228,0.007228
30,686.84,1.30182,0.99685,1.37133,0.90905,0.87065,0.93571,0.60197,1.27393,0.73051,1.37639,0.007129,0.007129,0.007129
31,708.994,1.27472,0.98127,1.35253,0.92408,0.86401,0.93883,0.61874,1.22845,0.7258,1.34638,0.00703,0.00703,0.00703
32,730.873,1.2828,0.9956,1.35725,0.93921,0.86318,0.94346,0.62146,1.2324,0.71173,1.36185,0.006931,0.006931,0.006931
33,753.041,1.26389,0.96938,1.34108,0.92217,0.86459,0.9378,0.61966,1.22459,0.72574,1.33798,0.006832,0.006832,0.006832
34,776.139,1.26281,0.96178,1.34025,0.93543,0.87696,0.94893,0.6261,1.20738,0.71135,1.32616,0.006733,0.006733,0.006733
35,798.679,1.24692,0.95524,1.33265,0.93484,0.86982,0.94711,0.62765,1.20794,0.69247,1.33564,0.006634,0.006634,0.006634
36,821.154,1.23125,0.92429,1.31122,0.94871,0.90496,0.95858,0.64132,1.18266,0.65537,1.30818,0.006535,0.006535,0.006535
37,843.477,1.23431,0.91554,1.3143,0.94188,0.89055,0.95716,0.63598,1.18564,0.67938,1.31031,0.006436,0.006436,0.006436
38,866.134,1.22612,0.9151,1.31606,0.93789,0.88894,0.95189,0.63154,1.20109,0.66437,1.31813,0.006337,0.006337,0.006337
39,889.003,1.20927,0.89237,1.30327,0.94448,0.87459,0.94815,0.63,1.19621,0.66721,1.32957,0.006238,0.006238,0.006238
40,911.542,1.21011,0.90419,1.30786,0.90876,0.90021,0.94774,0.6335,1.17463,0.66505,1.31692,0.006139,0.006139,0.006139
41,933.878,1.19373,0.87733,1.2896,0.93555,0.90275,0.95832,0.64586,1.17474,0.64707,1.30318,0.00604,0.00604,0.00604
42,956.928,1.18869,0.87572,1.28358,0.9363,0.90188,0.96062,0.65156,1.16526,0.63335,1.2905,0.005941,0.005941,0.005941
43,979.495,1.18294,0.86047,1.27251,0.94929,0.90025,0.96093,0.65541,1.14389,0.62317,1.27821,0.005842,0.005842,0.005842
44,1001.84,1.17011,0.85002,1.27555,0.94678,0.8864,0.96333,0.65853,1.14249,0.62213,1.26563,0.005743,0.005743,0.005743
45,1023.98,1.16927,0.84449,1.27759,0.944,0.90216,0.96209,0.65831,1.15559,0.62086,1.28466,0.005644,0.005644,0.005644
46,1046.55,1.15019,0.82954,1.26077,0.94047,0.91694,0.96524,0.66283,1.12885,0.60352,1.26318,0.005545,0.005545,0.005545
47,1069.17,1.156,0.84246,1.26046,0.93691,0.92348,0.96634,0.67016,1.12629,0.60523,1.26301,0.005446,0.005446,0.005446
48,1091.88,1.15459,0.83152,1.26703,0.95828,0.9142,0.97064,0.67405,1.1198,0.59029,1.25813,0.005347,0.005347,0.005347
49,1114.86,1.13934,0.82367,1.25464,0.93304,0.92436,0.96814,0.67422,1.10498,0.59316,1.25255,0.005248,0.005248,0.005248
50,1137.64,1.1365,0.81482,1.25475,0.95144,0.92952,0.97057,0.67523,1.11768,0.57386,1.25046,0.005149,0.005149,0.005149
51,1160.24,1.12816,0.80851,1.24389,0.94976,0.91211,0.96686,0.67246,1.11949,0.58681,1.2542,0.00505,0.00505,0.00505
52,1182.54,1.12845,0.80765,1.24233,0.95686,0.91708,0.96906,0.6865,1.09111,0.57245,1.24186,0.004951,0.004951,0.004951
53,1205.32,1.10628,0.78671,1.2304,0.95785,0.92786,0.96993,0.6822,1.08807,0.56659,1.23672,0.004852,0.004852,0.004852
54,1227.75,1.12072,0.78844,1.23959,0.95931,0.91294,0.96865,0.6769,1.09463,0.56914,1.24643,0.004753,0.004753,0.004753
55,1250.15,1.11008,0.7881,1.24616,0.95303,0.92543,0.9734,0.68385,1.0798,0.56355,1.23128,0.004654,0.004654,0.004654
56,1272.6,1.099,0.77465,1.23259,0.94555,0.92703,0.96563,0.68195,1.09165,0.56571,1.24215,0.004555,0.004555,0.004555
57,1294.99,1.09541,0.76332,1.22123,0.95409,0.92206,0.97221,0.6863,1.07651,0.55312,1.23025,0.004456,0.004456,0.004456
58,1317.49,1.07421,0.75676,1.20934,0.95227,0.93449,0.97072,0.68579,1.07677,0.54906,1.23078,0.004357,0.004357,0.004357
59,1339.86,1.06589,0.74454,1.20214,0.96812,0.92952,0.97429,0.6913,1.07463,0.54614,1.22238,0.004258,0.004258,0.004258
60,1362.66,1.06425,0.74335,1.20077,0.95604,0.93781,0.97478,0.68893,1.07867,0.53887,1.21987,0.004159,0.004159,0.004159
61,1385.65,1.05884,0.73982,1.20245,0.96592,0.92952,0.977,0.69401,1.07293,0.52825,1.22053,0.00406,0.00406,0.00406
