epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2496,1.82046,1.69195,1.42299,0.85493,0.51068,0.54773,0.26501,1.65304,1.14125,1.36977,0.00332026,0.00332026,0.0701176
2,46.0369,1.66767,1.16589,1.30032,0.58667,0.5738,0.61276,0.30793,1.58124,1.0625,1.33301,0.00658772,0.00658772,0.0400518
3,65.4,1.6308,1.11499,1.2793,0.56669,0.66211,0.64702,0.33699,1.57253,1.01386,1.32256,0.00978919,0.00978919,0.00991991
4,84.1827,1.60154,1.07076,1.26426,0.63463,0.67785,0.68769,0.35797,1.56795,0.96015,1.32215,0.009703,0.009703,0.009703
5,103.354,1.56804,1.01238,1.26446,0.66648,0.67294,0.68909,0.3678,1.52389,0.95824,1.34595,0.009604,0.009604,0.009604
6,122.675,1.53005,0.97499,1.25436,0.64102,0.68467,0.70904,0.38125,1.47578,0.9242,1.29935,0.009505,0.009505,0.009505
7,142.366,1.50363,0.95685,1.24401,0.65467,0.70918,0.71725,0.38608,1.4782,0.92822,1.30252,0.009406,0.009406,0.009406
8,161.921,1.47827,0.93061,1.23613,0.7836,0.67091,0.74079,0.41988,1.45896,0.86289,1.30959,0.009307,0.009307,0.009307
9,180.823,1.46718,0.91263,1.23104,0.63938,0.7457,0.75292,0.42303,1.44137,0.86863,1.30224,0.009208,0.009208,0.009208
10,199.784,1.4474,0.91557,1.2215,0.80406,0.67471,0.75576,0.4183,1.42006,0.89244,1.28186,0.009109,0.009109,0.009109
11,219.303,1.43267,0.90917,1.21878,0.75334,0.68619,0.76059,0.43016,1.39547,0.86717,1.27324,0.00901,0.00901,0.00901
12,238.661,1.42718,0.89298,1.21581,0.70679,0.72768,0.7534,0.42796,1.40555,0.84304,1.27822,0.008911,0.008911,0.008911
13,257.792,1.41164,0.87697,1.20957,0.75479,0.68573,0.76219,0.42505,1.39702,0.83786,1.282,0.008812,0.008812,0.008812
14,277.64,1.39332,0.87441,1.20451,0.76106,0.70094,0.76346,0.4409,1.38,0.83943,1.2694,0.008713,0.008713,0.008713
15,297.251,1.38771,0.8755,1.20165,0.7026,0.72928,0.77708,0.43356,1.39284,0.84788,1.27726,0.008614,0.008614,0.008614
16,316.042,1.37904,0.86942,1.19861,0.68973,0.72554,0.76487,0.42579,1.41728,0.83935,1.28038,0.008515,0.008515,0.008515
17,335.563,1.37335,0.8671,1.19864,0.77819,0.68002,0.77401,0.44777,1.35468,0.84071,1.25696,0.008416,0.008416,0.008416
18,355.033,1.36126,0.86097,1.18836,0.70289,0.73783,0.76431,0.44511,1.34001,0.82777,1.24372,0.008317,0.008317,0.008317
19,374.357,1.35426,0.86635,1.18799,0.73608,0.72891,0.77001,0.44774,1.34031,0.82737,1.24799,0.008218,0.008218,0.008218
20,393.441,1.34931,0.85756,1.1828,0.74524,0.70689,0.76203,0.44251,1.3404,0.83341,1.24608,0.008119,0.008119,0.008119
21,412.784,1.34153,0.85056,1.17898,0.71233,0.73046,0.77168,0.44581,1.3235,0.8416,1.24529,0.00802,0.00802,0.00802
22,432.261,1.33735,0.86407,1.18,0.74599,0.72946,0.78042,0.46058,1.32309,0.82835,1.24539,0.007921,0.007921,0.007921
23,451.907,1.31915,0.84962,1.16974,0.73062,0.75342,0.78662,0.46071,1.32031,0.82409,1.25061,0.007822,0.007822,0.007822
24,471.625,1.31516,0.85336,1.16982,0.72956,0.7444,0.7861,0.46245,1.30589,0.82764,1.22997,0.007723,0.007723,0.007723
25,491.322,1.31619,0.84738,1.16953,0.73537,0.74261,0.78157,0.4536,1.30875,0.82862,1.23878,0.007624,0.007624,0.007624
26,511.154,1.30456,0.84773,1.16141,0.7595,0.70106,0.78265,0.4635,1.29929,0.81512,1.23396,0.007525,0.007525,0.007525
27,530.616,1.30217,0.84887,1.16607,0.72594,0.76222,0.79921,0.47209,1.2846,0.82511,1.22574,0.007426,0.007426,0.007426
28,550.048,1.29184,0.8414,1.16136,0.75368,0.72516,0.78904,0.46747,1.29054,0.81471,1.23035,0.007327,0.007327,0.007327
29,569.394,1.2872,0.83741,1.15638,0.74059,0.71036,0.77326,0.45604,1.28981,0.81745,1.22816,0.007228,0.007228,0.007228
30,588.543,1.28083,0.83922,1.15889,0.736,0.73926,0.78779,0.46729,1.27618,0.8309,1.22483,0.007129,0.007129,0.007129
31,607.578,1.27787,0.83669,1.15605,0.7249,0.74078,0.78485,0.46993,1.27443,0.80633,1.21779,0.00703,0.00703,0.00703
32,626.924,1.27686,0.84481,1.15207,0.77056,0.70378,0.77653,0.46295,1.27515,0.82245,1.22003,0.006931,0.006931,0.006931
33,646.324,1.26695,0.8281,1.15034,0.75853,0.73043,0.79096,0.4718,1.27102,0.79969,1.22687,0.006832,0.006832,0.006832
34,665.697,1.26236,0.84091,1.14659,0.81224,0.6999,0.79663,0.47758,1.26808,0.80441,1.21541,0.006733,0.006733,0.006733
35,685.299,1.25782,0.8293,1.14437,0.72198,0.76161,0.79243,0.46766,1.25869,0.82013,1.21359,0.006634,0.006634,0.006634
36,705.135,1.2609,0.83418,1.1536,0.72359,0.74659,0.7926,0.47876,1.24926,0.80904,1.21266,0.006535,0.006535,0.006535
37,724.803,1.25321,0.83246,1.14287,0.70849,0.77254,0.7838,0.47484,1.2477,0.81475,1.20585,0.006436,0.006436,0.006436
38,744.291,1.24417,0.82706,1.13992,0.75088,0.74238,0.80022,0.48005,1.25074,0.80812,1.20715,0.006337,0.006337,0.006337
39,763.408,1.23988,0.83305,1.14027,0.74837,0.71431,0.77942,0.46914,1.23847,0.82643,1.20306,0.006238,0.006238,0.006238
40,782.333,1.24381,0.83294,1.14044,0.76852,0.70879,0.78742,0.474,1.23521,0.8081,1.19738,0.006139,0.006139,0.006139
41,801.493,1.23463,0.82606,1.13489,0.73068,0.73048,0.78461,0.47489,1.23298,0.80244,1.19948,0.00604,0.00604,0.00604
42,820.877,1.22935,0.82679,1.12892,0.73667,0.73553,0.79558,0.47929,1.22381,0.81058,1.19588,0.005941,0.005941,0.005941
43,840.404,1.22256,0.82685,1.12756,0.71793,0.73989,0.78993,0.47664,1.22884,0.80794,1.20011,0.005842,0.005842,0.005842
44,859.558,1.22546,0.82173,1.12826,0.72124,0.72545,0.79097,0.47515,1.22166,0.82323,1.19104,0.005743,0.005743,0.005743
45,878.528,1.21643,0.82954,1.12449,0.7524,0.71938,0.79858,0.47897,1.21707,0.8135,1.19682,0.005644,0.005644,0.005644
46,898.016,1.21597,0.8173,1.12786,0.74823,0.75089,0.79594,0.48258,1.21683,0.80584,1.19399,0.005545,0.005545,0.005545
47,917.731,1.22152,0.82145,1.12616,0.73735,0.76234,0.8036,0.48339,1.21497,0.80677,1.18974,0.005446,0.005446,0.005446
48,938.075,1.20508,0.8251,1.12168,0.73283,0.74039,0.79462,0.4822,1.21402,0.81074,1.19309,0.005347,0.005347,0.005347
49,957.949,1.20633,0.82017,1.12005,0.7297,0.75683,0.79269,0.48129,1.20768,0.81575,1.18154,0.005248,0.005248,0.005248
50,977.638,1.20571,0.81663,1.12153,0.71577,0.75149,0.78965,0.48095,1.2,0.81092,1.183,0.005149,0.005149,0.005149
51,997.375,1.19541,0.81403,1.1156,0.74885,0.76501,0.79952,0.48499,1.20724,0.80703,1.19142,0.00505,0.00505,0.00505
52,1016.65,1.19278,0.8228,1.11802,0.7426,0.75993,0.79716,0.4812,1.19759,0.80749,1.18378,0.004951,0.004951,0.004951
53,1035.91,1.19291,0.81415,1.11435,0.74116,0.73252,0.80204,0.48683,1.19399,0.80523,1.18348,0.004852,0.004852,0.004852
54,1055.3,1.18901,0.81198,1.11409,0.70433,0.76046,0.79826,0.48423,1.1909,0.80552,1.17564,0.004753,0.004753,0.004753
