epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80858,0.19911,14.9295,0.13153,0,0,0,0,0.42323,0.65469,0.18684,0.0033,0.0033,0.0703
2,15.1996,0.34489,0.65353,0.22296,0,0,0,0,0.02416,0.03229,0.00818,0.00656766,0.00656766,0.0402343
3,21.1833,0.10676,0.16804,0.07064,0,0,0,0,0.00019,0.00052,0.00011,0.00976933,0.00976933,0.0101027
4,26.9657,0.08124,0.1696,0.03859,0,0,0,0,0.18258,0.26406,0.06427,0.009703,0.009703,0.009703
5,32.851,0.19335,0.36749,0.09114,0,0,0,0,0.08185,0.10964,0.01976,0.009604,0.009604,0.009604
6,38.5847,0.11294,0.21045,0.04746,0,0,0,0,0.11013,0.18255,0.07334,0.009505,0.009505,0.009505
7,44.4837,0.41142,0.67031,0.2214,0,0,0,0,0.23161,0.40417,0.18113,0.009406,0.009406,0.009406
8,50.3383,0.14898,0.20672,0.04942,0,0,0,0,0.14355,0.30417,0.08617,0.009307,0.009307,0.009307
9,56.3046,0.11405,0.24276,0.04365,0,0,0,0,0.7553,1.09866,0.25242,0.009208,0.009208,0.009208
10,62.3298,0.08187,0.1644,0.04375,0,0,0,0,0.01713,0.02187,0.00649,0.009109,0.009109,0.009109
11,68.2571,0.22591,0.40639,0.10247,0,0,0,0,0.51268,0.66879,0.14251,0.00901,0.00901,0.00901
12,73.9928,0.07814,0.15449,0.03488,0,0,0,0,0.75512,1.03233,0.21596,0.008911,0.008911,0.008911
13,79.9935,0.16541,0.32341,0.06429,0,0,0,0,0.7329,1.04578,0.25309,0.008812,0.008812,0.008812
14,85.8626,0.11327,0.17416,0.05203,0,0,0,0,0.61283,1.04897,0.23982,0.008713,0.008713,0.008713
15,91.7517,0.31199,0.55154,0.17703,0,0,0,0,0.64584,1.06253,1.53286,0.008614,0.008614,0.008614
16,97.6575,0.05023,0.07926,0.02975,0,0,0,0,0.72486,1.09032,0.28152,0.008515,0.008515,0.008515
17,103.475,0.10045,0.15581,0.04412,0,0,0,0,0.77941,1.06048,0.29467,0.008416,0.008416,0.008416
18,109.343,0.13539,0.24577,0.06007,0,0,0,0,0.37648,0.51173,0.10362,0.008317,0.008317,0.008317
19,115.257,0.25347,0.44757,0.1052,0,0,0,0,0.36891,0.47419,0.11495,0.008218,0.008218,0.008218
20,121.038,0.09488,0.1515,0.03665,0,0,0,0,0.70253,0.94211,0.20951,0.008119,0.008119,0.008119
21,126.959,0.13119,0.2209,0.0506,0,0,0,0,0.72587,0.9555,0.19677,0.00802,0.00802,0.00802
22,132.786,0.20469,0.3644,0.09489,0,0,0,0,0.78388,0.92533,0.41933,0.007921,0.007921,0.007921
23,138.573,0.09627,0.12588,0.05875,0,0,0,0,0.79435,0.94951,0.27278,0.007822,0.007822,0.007822
24,144.423,0.38649,0.60833,0.17387,0,0,0,0,0.8135,1.00289,0.31902,0.007723,0.007723,0.007723
25,150.299,0.12208,0.1751,0.04796,0,0,0,0,0.37907,0.49658,0.12593,0.007624,0.007624,0.007624
26,156.159,0.2398,0.43768,0.09808,0,0,0,0,0.33882,0.49496,0.12852,0.007525,0.007525,0.007525
27,162.168,0.11815,0.23535,0.05285,0,0,0,0,0.63149,1.03846,0.26073,0.007426,0.007426,0.007426
28,168.177,0.19852,0.35096,0.09321,0,0,0,0,0.6441,1.0345,0.25178,0.007327,0.007327,0.007327
29,174.036,0.14096,0.23271,0.06548,0,0,0,0,0.71187,1.031,0.29214,0.007228,0.007228,0.007228
30,180.073,0.43766,0.74261,0.18101,0,0,0,0,0.66931,0.89177,0.26672,0.007129,0.007129,0.007129
31,185.998,0.07789,0.15374,0.03598,0,0,0,0,0.61189,1.03671,0.29139,0.00703,0.00703,0.00703
32,191.866,0.18221,0.3009,0.07957,0,0,0,0,0.67118,1.0085,0.27359,0.006931,0.006931,0.006931
33,197.812,0.11457,0.22582,0.0475,0,0,0,0,0.65713,1.02958,0.38243,0.006832,0.006832,0.006832
34,203.753,0.11722,0.22467,0.05435,0,0,0,0,0.33398,0.54144,0.1288,0.006733,0.006733,0.006733
35,209.712,0.33944,0.6864,0.19921,0,0,0,0,0.70403,0.99669,0.34307,0.006634,0.006634,0.006634
36,215.793,0.25398,0.50262,0.13011,0,0,0,0,0.6976,0.95131,0.3493,0.006535,0.006535,0.006535
37,221.686,0.09282,0.15256,0.03851,0,0,0,0,0.66826,1.01485,0.29547,0.006436,0.006436,0.006436
38,227.563,0.18487,0.37894,0.09005,0,0,0,0,0.68,1.05155,0.30127,0.006337,0.006337,0.006337
39,233.538,0.24201,0.44664,0.11476,0,0,0,0,0.73164,0.9628,0.30857,0.006238,0.006238,0.006238
40,239.479,0.16358,0.2927,0.06713,0,0,0,0,0.71785,0.98063,0.28205,0.006139,0.006139,0.006139
41,245.457,0.17608,0.29706,0.08714,0,0,0,0,0.62374,0.99777,0.23607,0.00604,0.00604,0.00604
42,251.476,0.28179,0.51847,0.11261,0,0,0,0,0.61848,0.92654,0.23902,0.005941,0.005941,0.005941
43,257.59,0.12543,0.22517,0.05447,0,0,0,0,0.61713,0.98776,0.24954,0.005842,0.005842,0.005842
44,263.891,0.27978,0.53825,0.12676,0,0,0,0,0.69296,0.98637,0.30344,0.005743,0.005743,0.005743
45,269.83,0,0.00795,0,0,0,0,0,0.68877,1.00939,0.29348,0.005644,0.005644,0.005644
