epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2153,1.36271,2.56606,1.51714,0.55342,0.44368,0.48116,0.26993,1.48769,2.06646,1.68338,0.00332659,0.00332659,0.0700607
2,88.7207,1.40676,1.9645,1.55621,0.49788,0.40929,0.40032,0.2013,1.70263,2.15038,1.89948,0.00659399,0.00659399,0.0399948
3,127.963,1.52782,2.07193,1.6714,0.4263,0.32458,0.31012,0.15124,1.87385,2.51501,2.16734,0.00979539,0.00979539,0.00986286
4,168.698,1.62204,2.17708,1.74734,0.42825,0.34298,0.32426,0.14883,1.9694,2.1995,2.10968,0.009703,0.009703,0.009703
5,207.028,1.58378,2.07178,1.72726,0.47263,0.39834,0.39713,0.21004,1.77467,2.10307,1.99728,0.009604,0.009604,0.009604
6,245.217,1.54605,1.97259,1.69641,0.56665,0.45917,0.48088,0.24968,1.70585,1.92964,1.9237,0.009505,0.009505,0.009505
7,283.46,1.50413,1.907,1.66843,0.56404,0.47754,0.4878,0.26376,1.65392,1.95236,1.91916,0.009406,0.009406,0.009406
8,320.956,1.48787,1.85091,1.65,0.64206,0.49598,0.55128,0.30343,1.6211,1.82445,1.88838,0.009307,0.009307,0.009307
9,358.22,1.46903,1.78486,1.63834,0.6699,0.53452,0.58565,0.3152,1.65117,1.62786,1.85755,0.009208,0.009208,0.009208
10,396.279,1.43557,1.72424,1.60511,0.62983,0.54024,0.58576,0.33218,1.54418,1.57726,1.7716,0.009109,0.009109,0.009109
11,434.679,1.41886,1.70083,1.59421,0.66731,0.56497,0.61619,0.34553,1.5682,1.56334,1.81463,0.00901,0.00901,0.00901
12,472.39,1.4016,1.66844,1.5806,0.69498,0.59241,0.64072,0.36955,1.49789,1.49174,1.72593,0.008911,0.008911,0.008911
13,510.153,1.38211,1.6253,1.5699,0.67214,0.56006,0.62112,0.35951,1.52415,1.59595,1.73889,0.008812,0.008812,0.008812
14,548.162,1.38131,1.59619,1.56096,0.70289,0.5811,0.64697,0.38062,1.48198,1.49917,1.72221,0.008713,0.008713,0.008713
15,585.709,1.35714,1.56687,1.55165,0.70452,0.6082,0.66338,0.39221,1.47355,1.39824,1.6952,0.008614,0.008614,0.008614
16,623.595,1.35004,1.54925,1.55024,0.71226,0.6095,0.66798,0.39601,1.45153,1.3864,1.67234,0.008515,0.008515,0.008515
17,661.571,1.34326,1.5257,1.53812,0.74549,0.61159,0.68247,0.40538,1.44739,1.35262,1.68098,0.008416,0.008416,0.008416
18,699.892,1.33595,1.50149,1.53214,0.72277,0.63179,0.67927,0.39368,1.47554,1.35285,1.68602,0.008317,0.008317,0.008317
19,737.681,1.34378,1.50172,1.52933,0.7349,0.6187,0.6874,0.41416,1.46167,1.31368,1.6699,0.008218,0.008218,0.008218
20,775.496,1.31627,1.47317,1.51326,0.75791,0.61557,0.69305,0.41918,1.42445,1.29006,1.64015,0.008119,0.008119,0.008119
21,812.93,1.30563,1.44738,1.51206,0.77494,0.6447,0.71032,0.4248,1.45853,1.28178,1.68925,0.00802,0.00802,0.00802
22,850.433,1.31019,1.4454,1.51206,0.77668,0.63622,0.7187,0.4331,1.42157,1.23201,1.63963,0.007921,0.007921,0.007921
23,887.964,1.29821,1.4281,1.49653,0.77969,0.65316,0.72056,0.43953,1.4094,1.21397,1.63648,0.007822,0.007822,0.007822
24,925.221,1.28185,1.40795,1.48761,0.76377,0.63395,0.70636,0.43793,1.39954,1.27849,1.63382,0.007723,0.007723,0.007723
25,962.962,1.27874,1.38732,1.47816,0.78142,0.6433,0.71744,0.44167,1.40041,1.21977,1.61605,0.007624,0.007624,0.007624
26,1001.34,1.27299,1.36831,1.47496,0.76896,0.6541,0.72688,0.45168,1.40353,1.20784,1.62217,0.007525,0.007525,0.007525
27,1039.23,1.26765,1.35373,1.47317,0.78392,0.65706,0.72274,0.44669,1.38243,1.21163,1.60162,0.007426,0.007426,0.007426
28,1077.35,1.26994,1.34458,1.46905,0.78154,0.65705,0.72384,0.45106,1.36518,1.2015,1.59495,0.007327,0.007327,0.007327
29,1115.46,1.25745,1.33854,1.47002,0.7541,0.6687,0.73033,0.45492,1.38642,1.17996,1.60658,0.007228,0.007228,0.007228
30,1153.36,1.24143,1.32066,1.46031,0.78988,0.66451,0.74595,0.46786,1.35443,1.13598,1.5861,0.007129,0.007129,0.007129
31,1191,1.24471,1.32257,1.45438,0.78634,0.66926,0.74224,0.46558,1.34694,1.15552,1.57865,0.00703,0.00703,0.00703
32,1228.77,1.24588,1.29814,1.45564,0.77468,0.66986,0.73792,0.46992,1.3357,1.14721,1.57654,0.006931,0.006931,0.006931
33,1266.31,1.22951,1.28205,1.44515,0.79292,0.67575,0.74971,0.47269,1.3532,1.1202,1.58034,0.006832,0.006832,0.006832
34,1303.94,1.22482,1.26737,1.44263,0.77645,0.67716,0.7414,0.46749,1.34951,1.14674,1.58281,0.006733,0.006733,0.006733
35,1340.98,1.22707,1.27493,1.44167,0.82004,0.6622,0.75012,0.47944,1.33637,1.11296,1.57027,0.006634,0.006634,0.006634
36,1378.35,1.22084,1.24918,1.43595,0.81415,0.68174,0.75594,0.48245,1.34565,1.08233,1.56686,0.006535,0.006535,0.006535
37,1416.42,1.21822,1.24203,1.43259,0.79446,0.68819,0.75365,0.47967,1.33726,1.10124,1.56164,0.006436,0.006436,0.006436
38,1454.41,1.2097,1.24111,1.42442,0.79705,0.68779,0.75728,0.48493,1.33829,1.07419,1.5663,0.006337,0.006337,0.006337
39,1492.98,1.19846,1.23891,1.42229,0.80663,0.68815,0.75496,0.48487,1.32958,1.08233,1.55743,0.006238,0.006238,0.006238
40,1530.46,1.19001,1.20004,1.41132,0.80618,0.69245,0.76033,0.48909,1.31736,1.07178,1.54528,0.006139,0.006139,0.006139
41,1568.56,1.19388,1.21316,1.42049,0.80626,0.69291,0.76627,0.493,1.3284,1.05479,1.55121,0.00604,0.00604,0.00604
42,1606.42,1.18233,1.19587,1.40669,0.81936,0.69855,0.7718,0.49869,1.3064,1.05541,1.53632,0.005941,0.005941,0.005941
43,1644.2,1.18338,1.18689,1.40414,0.80624,0.6903,0.76792,0.49668,1.31067,1.04444,1.54093,0.005842,0.005842,0.005842
44,1681.58,1.17192,1.16722,1.39971,0.80424,0.7076,0.76798,0.49777,1.31664,1.03508,1.55156,0.005743,0.005743,0.005743
45,1719.2,1.17947,1.17081,1.40703,0.81893,0.6966,0.76452,0.49411,1.31349,1.02512,1.53985,0.005644,0.005644,0.005644
46,1756.79,1.16181,1.16049,1.39842,0.80487,0.70435,0.77457,0.50521,1.30444,1.02036,1.53324,0.005545,0.005545,0.005545
47,1794.74,1.15883,1.15754,1.39432,0.80995,0.70401,0.7722,0.50318,1.29276,1.04168,1.51244,0.005446,0.005446,0.005446
